Sample,Raw_Read_Pairs,Trimmed_Read_Pairs,Trim_Retention_Pct,RGmd_Total_Reads,RGmd_Duplicate_Reads,Duplicate_Pct,RGmd_Mapped_Reads,Mapping_Rate_Pct,RGmd_Properly_Paired,Properly_Paired_Pct,Filtered_Mapped_Reads
CA_J05B12,18093053,17967429,99.31,35934858,4345862,12.09,35247009,98.09,33073748,92.04,23163669
CA_J06B11,9086835,9006866,99.12,18013732,2038798,11.32,17746339,98.52,16844726,93.51,11978572
CA_J06B12,18943883,18789176,99.18,37578352,4595971,12.23,36677076,97.60,34277466,91.22,23750924
CA_J08B10,17901417,17751254,99.16,35502508,4929337,13.88,32095331,90.40,30547468,86.04,20038023
CA_J08B11,8326047,8239108,98.96,16478216,1699170,10.31,16163248,98.09,15202502,92.26,11025033
CA_J11B10,26755983,26570247,99.31,53140494,15348281,28.88,47745402,89.85,46127098,86.80,22642281
CA_J11B11,12347669,12216951,98.94,24433902,3286958,13.45,24023006,98.32,21644928,88.59,15966298
CA_J11B12,17263752,17129002,99.22,34258004,3831140,11.18,33180654,96.86,31054356,90.65,21736431
CA_J13B10,24553469,24398233,99.37,48796466,15115352,30.98,44789048,91.79,42922100,87.96,21587260
CA_J15B12,19042445,18916051,99.34,37832102,5061378,13.38,36697937,97.00,34387312,90.89,23291156
CA_J18B11,12753231,12633387,99.06,25266774,3147826,12.46,24794577,98.13,23282270,92.15,16433153
CASE_J01B10,16239184,16077739,99.01,32155478,4125980,12.83,30643509,95.30,29118014,90.55,19961661
CASE_J03B11,9117864,9022339,98.95,18044678,2024797,11.22,17769577,98.48,16910016,93.71,11993365
CASE_J03B12,20130909,19986914,99.28,39973828,4960151,12.41,39336504,98.41,36491718,91.29,25703113
CASE_J04B12,18814272,18671857,99.24,37343714,4457293,11.94,36544699,97.86,34225838,91.65,23703647
CASE_J07B10,20438435,20280509,99.23,40561018,5475777,13.50,37087030,91.44,35361452,87.18,23191245
CASE_J07B12,17759184,17643723,99.35,35287446,3837975,10.88,34541215,97.89,32262572,91.43,22789665
CASE_J09B11,9616497,9514900,98.94,19029800,2003095,10.53,18699911,98.27,17687070,92.94,12727318
CASE_J12B10,26616263,26421784,99.27,52843568,15212261,28.79,48907657,92.55,47148068,89.22,24055383
CASE_J12B11,10693255,10576156,98.90,21152312,2613040,12.35,20778735,98.23,18518080,87.55,13974154
CASE_J13B11,9489595,9348857,98.52,18697714,2198516,11.76,18251653,97.61,16898566,90.38,12701872
CASE_J13B12,14791454,14695593,99.35,29391186,3438593,11.70,27898053,94.92,26218208,89.20,17828177
CASE_J13GB11,10092058,9988839,98.98,19977678,2111921,10.57,19450488,97.36,18399166,92.10,13149696
CON_J02B10,11049471,10964912,99.23,21929824,2270589,10.35,18063404,82.37,17252506,78.67,10928504
CON_J02B11,11147923,11040883,99.04,22081766,2584704,11.71,21686776,98.21,20678786,93.65,14379281
CON_J02B12,19780941,19666710,99.42,39333420,4752393,12.08,38763822,98.55,36583000,93.01,25660517
CON_J05B11,6604422,6537914,98.99,13075828,1327068,10.15,12825657,98.09,12160244,93.00,8809994
CON_J06B10,14641142,14504757,99.07,29009514,3761915,12.97,23944046,82.54,22978316,79.21,13998652
CON_J08B12,18526811,18400343,99.32,36800686,4239404,11.52,36211234,98.40,33764570,91.75,23921181
CON_J10B10,27837933,27627719,99.24,55255438,15668758,28.36,48577647,87.91,46896190,84.87,22672448
CON_J10B11,8632585,8537749,98.90,17075498,1633628,9.57,16665238,97.60,14660444,85.86,11501408
CON_J10B12,20076911,19930066,99.27,39860132,4526772,11.36,39108343,98.11,36356552,91.21,25633941
CON_J15B11,9363825,9262917,98.92,18525834,1819230,9.82,17990928,97.11,16965660,91.58,12340971
CON_J18B12,15100965,15002963,99.35,30005926,3784915,12.61,29087737,96.94,27339974,91.12,18648920
IS_01B10,19645686,19448790,99.00,38897580,6306912,16.21,38384785,98.68,36436934,93.67,25654845
IS_01B11,13619130,13498880,99.12,26997760,3394206,12.57,26650636,98.71,25506230,94.48,18118359
IS_02B10,22653262,22447391,99.09,44894782,7606663,16.94,44356943,98.80,42322032,94.27,29035854
IS_02B11,6741863,6676070,99.02,13352140,1409050,10.55,13194073,98.82,12560038,94.07,8951082
IS_03B10,31007947,30755725,99.19,61511450,21222734,34.50,60721049,98.72,58381334,94.91,29665349
IS_03B11,9897151,9808205,99.10,19616410,2702920,13.78,19384485,98.82,18424140,93.92,12813415
IS_04B10,19896442,19717043,99.10,39434086,5010113,12.71,38899955,98.65,36870850,93.50,26370069
IS_04B11,10502553,10392074,98.95,20784148,2554205,12.29,20524361,98.75,19484962,93.75,13773203
IS_J01B12,15162720,15007752,98.98,30015504,3612967,12.04,29470007,98.18,25932276,86.40,19633353
IS_J02B12,19009064,18860364,99.22,37720728,4540289,12.04,37062830,98.26,34346378,91.05,24513230
IS_J03B12,19281624,19128038,99.20,38256076,4847248,12.67,37479635,97.97,35176656,91.95,24638731
IS_J04B12,16511319,16377255,99.19,32754510,4479867,13.68,32203720,98.32,29811598,91.02,21236323
SE_J01B11,9386171,9296613,99.05,18593226,2154376,11.59,18327279,98.57,17461328,93.91,12325977
SE_J01B12,14966690,14873608,99.38,29747216,3539261,11.90,29300189,98.50,27617086,92.84,19404721
SE_J03B10,15556911,15430642,99.19,30861284,3943868,12.78,28332013,91.80,26984778,87.44,18062793
SE_J04B10,17097860,16947690,99.12,33895380,4835706,14.27,31736129,93.63,30241722,89.22,20251932
SE_J07B11,7996611,7910038,98.92,15820076,1678634,10.61,15578172,98.47,14800094,93.55,10590434
SE_J09B10,27517673,27334592,99.33,54669184,16421450,30.04,50587585,92.53,48875160,89.40,24356801
SE_J09B12,18708873,18573437,99.28,37146874,4207100,11.33,36192463,97.43,33568426,90.37,23685441
SE_J12B12,17564775,17446276,99.33,34892552,4444268,12.74,34264470,98.20,32004014,91.72,22209783
SE_J14B11,9747581,9640532,98.90,19281064,2214444,11.49,18719473,97.09,16466256,85.40,12442629
SE_J14B12,19165705,19055721,99.43,38111442,5040677,13.23,37194193,97.59,34861148,91.47,23920012
SE_J14GB11,10385824,10283851,99.02,20567702,2249390,10.94,19944272,96.97,18866280,91.73,13406327
